merke,modell,Generasjon,Modifikasjon (motor),Første år av produksjon,Arkitektur av drivlinjen,Karosserityper,Antall seter,Antall dører,Type drivstoff,Akselerasjon 0 - 100 km/t,Akselerasjon 0 - 62 mph,Akselerasjon 0 - 60 mph (Beregnet av Auto-Data.net),Maksimal hastighet,Motsvarighet vekt/effekt,Motsvarighet vekt/Dreiemoment,Brutto batterikapasitet,Teknologi for batterilagring,Batteriplassering,Elektrisk rekkevidde (WLTP),Energiforbruk (WLTP),Ladeporter,Effekt elektrisk motor,Dreiemoment elektrisk motor,Plassering av elektrisk motor,Type elektrisk motor,Systemkraft,System dreiemoment,Vekt,Maksimalt tillatt vekt,Maksimal lastekapasitet,Minimalt volum av bagasjerommet,Tillatt taklast,Tillatt tilhengervekt ved 12% stigning,Tillatt tilhengervekt uten bremser,Tillatt kuletrykk,Lengde,Bredde,Bredde med speil brettet,Bredde inkl. speil,Høyde,Akselavstand,"Sporvidde, foran","Sporvidde, baks",Overheng foran,Overheng bak,Arkitektur av drivverket,Hjultrekk,Antall gir og type girkasse,frambremser,bakbremser,Hjelpesystemer,Styringstype,Servo styring,Dekkstørrelse,Felgstørrese
Citroen,Berlingo,"Berlingo III XL (Phase II, facelift 2024)",e-Berlingo 50 kWh (136 hk),"Mars, 2024 år",BEV (Elektrisk kjøretøy),Minivan,5,5,Elektrisitet,11.7 sek,11.7 sek,11.1 sek,132 km/t,"13.3 kg/hk, 75.3 hk/tonn","6.9 kg/Hm, 144 Hm/tonn",50 kWh,Litiumjon (Li-ion),Under gulvet,335-339 km,18.4-18.6 kWh/100 km,Logg inn for å se.,136 hk,260 Hm,"Forakselen, tverrstilt",Synkron,136 hk,260 Hm,1806-1947 kg,2390 kg,443-584 kg,1050 l,100 kg,750 kg,750 kg,50 kg,4753 mm,1848 mm,1921 mm,2107 mm,1849 mm,2975 mm,1553 mm,1567 mm,892 mm,886 mm,En elektrisk motor driver forhjulene.,Forhjulstrekk,"1 trinns, automatisk girkasse",disc,Disc,ABS (Blokkeringsfrie bremser),Rack og pinion,Elektrisk forsterker,205/60 R16 95U; 205/55 R17 95U,16; 17
merke,modell,generasjon,modifikasjon_motor,foerste_aar_av_produksjon,arkitektur_av_drivlinjen,karosserityper,antall_seter,antall_doerer,type_drivstoff,akselerasjon_0_100_kmt,akselerasjon_0_62_mph,akselerasjon_0_60_mph_beregnet_av_autodatanet,maksimal_hastighet,motsvarighet_vekteffekt,motsvarighet_vektdreiemoment,brutto_batterikapasitet,teknologi_for_batterilagring,batteriplassering,elektrisk_rekkevidde_wltp,energiforbruk_wltp,ladeporter,effekt_elektrisk_motor,dreiemoment_elektrisk_motor,plassering_av_elektrisk_motor,type_elektrisk_motor,systemkraft,system_dreiemoment,vekt,maksimalt_tillatt_vekt,maksimal_lastekapasitet,minimalt_volum_av_bagasjerommet,tillatt_taklast,tillatt_tilhengervekt_ved_12_stigning,tillatt_tilhengervekt_uten_bremser,tillatt_kuletrykk,lengde,bredde,bredde_med_speil_brettet,bredde_inkl_speil,hoeyde,akselavstand,sporvidde_foran,sporvidde_baks,overheng_foran,overheng_bak,arkitektur_av_drivverket,hjultrekk,antall_gir_og_type_girkasse,frambremser,bakbremser,hjelpesystemer,styringstype,servo_styring,dekkstoerrelse,felgstoerrese
